CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,result
0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,20.29266240966431
25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,396.9,26.77,11.22260952190933
7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,13.793118406041259
9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44,18.168935963940015
0.12269000000000001,0.0,6.91,0,0.44799999999999995,6.069,40.0,5.7209,3,233,17.9,389.39,9.55,22.61609327812462
0.08872999999999999,21.0,5.64,0,0.439,5.962999999999999,45.7,6.8147,4,243,16.8,395.56,13.45,20.73810938188783
0.05644,40.0,6.41,1,0.447,6.757999999999999,32.9,4.0776,4,254,17.6,396.9,3.53,36.88858074591437
0.9557700000000001,0.0,8.14,0,0.5379999999999999,6.047000000000001,88.8,4.4534,4,307,21.0,306.38,17.28,14.673789584826167
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,23.277667904889398
0.16902,0.0,25.65,0,0.581,5.986000000000001,88.4,1.9929,2,188,19.1,385.02,14.81,22.297793665948042
0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5,25.50930599991634
0.66351,20.0,3.97,0,0.647,7.332999999999999,100.0,1.8946,5,264,13.0,383.29,7.79,36.701470080877826
13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,5.3000276459523725
0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,25.428551369336844
28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,210.97,20.08,11.10102786865024
0.30346999999999996,0.0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23.82428793234306
7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,17.570124993381008
10.0623,0.0,18.1,0,0.584,6.832999999999999,94.3,2.0882,24,666,20.2,81.33,19.69,19.249399451907205
0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,32.317599128791144
0.04741,0.0,11.93,0,0.573,6.03,80.8,2.505,1,273,21.0,396.9,7.88,22.49564518139724
4.668830000000001,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01,13.608136796644981
11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666,20.2,332.09,12.13,19.752577816297805
12.0482,0.0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,18.29508221849321
1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28,18.41973303398322
0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,34.07957463084242
3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0,15.42586708059261
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,25.35274730004038
0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,24.938889634207847
12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,11.618800939652523
0.0837,45.0,3.44,0,0.43700000000000006,7.185,38.9,4.5667,5,398,15.2,396.9,5.39,34.67338729916447
15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666,20.2,368.74,18.13,16.497482341565515
0.11432,0.0,8.56,0,0.52,6.781000000000001,71.3,2.8561,5,384,20.9,395.58,7.67,25.889946075595805
24.3938,0.0,18.1,0,0.7,4.652,100.0,1.4672,24,666,20.2,396.9,28.28,4.9783969706336535
0.03113,0.0,4.39,0,0.442,6.013999999999999,48.5,8.0136,3,352,18.8,385.64,10.53,16.105508750159068
0.00632,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,15.3,396.9,4.98,29.999466086380302
